title,body,labels,assignees
カーネル部メモリ配置の最適化,"Azure DevOps ID: 86
---
<div>以下2点を最適化する </div><div>・<span style="""">固定長メモリプール</span> </div><div><span style="""">・イーサネット通信用バッファ</span> </div>","issue,status:done",
パケット処理時間の測定検討,"Azure DevOps ID: 88
---
","issue,status:done",
タスク優先度の設計,"Azure DevOps ID: 89
---
","issue,status:done",
実行時間の改善・効果確認,"Azure DevOps ID: 90
---
","issue,status:done",
CPU負荷率の計算,"Azure DevOps ID: 91
---
","issue,status:done",
LiDARスペックの反映,"Azure DevOps ID: 92
---
","issue,status:done",
PTPの実装,"Azure DevOps ID: 93
---
","issue,status:done",
検知点格納バッファ数,"Azure DevOps ID: 101
---
<div><span>ObstacleCommon.hにてバッファ数計算がVLP16換算であること</span> </div><div><span><br></span> </div><div><span>/*<br></span><div>&nbsp;* VP16回転数 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; = 600 rpm<br> </div><div>&nbsp;* 1回転当たりの照射数 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;= 60*1000*1000/600/55.296 ≒ 1808.449回<br> </div><div>&nbsp;* 1回転当たりの有効照射数 &nbsp; &nbsp; &nbsp; &nbsp;= 1808.449/( 180 / 360 ) ≒ 904.225回<br> </div><div>&nbsp;* 1回転当たりの最大検知数 &nbsp; &nbsp; &nbsp; &nbsp;= 904.225*NUM_CHANNEL ≒ 14468	(単一センサ）<br> </div><div>&nbsp;*/<br> </div><div>#define	RCV_CYCLE_POINT_NUM	14468<br> </div><div>#define	MAX_CYCLE_POINT	( RCV_CYCLE_POINT_NUM*1)		/* 1周照射分ストアポイント数	*/<br> </div><span></span><br> </div>","issue,status:done",
[fix]scriptsの動作確認,"Azure DevOps ID: 102
---
<div>shutdown_managerのscpriptsがBOXERにおいて動作するか確認する </div>","issue,status:todo",
[confirm]点群切り抜きマージンの確保必要有無,"Azure DevOps ID: 107
---
物体検出結果から点群を引き抜く際に横幅、マージンを設定できるようになっていた。
新型では現状無し。
パラメータ・調整しろは残すべきか

影響確認・机上検証資料
#132","issue,status:todo",
[fix]bbox出力数制限,"Azure DevOps ID: 112
---
<div>SSDからrtmdetに変更した際にバウンディングボックスの出力数制限が撤廃されている。 </div><div>復元し、パラメータから出力数を設定できるようにすること </div>","issue,status:todo",
[fix]カメラ、レンズパラメータの置き場,"Azure DevOps ID: 113
---
<div>機台、環境依存のない設計値になるため、configフォルダは不適。調整が必要な項目に見えるため。 </div>","issue,status:todo",
[fix]bbox重複処理要否判断,"Azure DevOps ID: 114
---
<div>dl_pallet_detect_nodeにあったbbox重複チェック処理を復活する必要があるかないか、あれば再実装すること </div><div><br> </div>","issue,status:todo",
[investigate]学習パラメータの管理方法,"Azure DevOps ID: 115
---
<div>rtmdetのパラメータ管理方法 </div><div>400mb程度あるため、AzureRepo上の管理不可 </div><div>現状はBox </div>","issue,status:todo",
[investigate]各トピックのQoS設定確認,"Azure DevOps ID: 124
---
<div>現状の値で適切か、整理すること </div>","issue,status:todo",
[fix]カメラオフセット記載箇所の変更、関数移設,"Azure DevOps ID: 125
---
<div><div style=""color:#000000;background-color:#fffffe;font-family:Consolas, 'Courier New', monospace;font-weight:normal;font-size:12px;""><br> </div><div style=""color:#000000;background-color:#fffffe;font-family:Consolas, 'Courier New', monospace;font-weight:normal;font-size:12px;"">以下のカメラオフセットの処理、定義をextract_pointsノードへ移設すること </div><div style=""color:#000000;background-color:#fffffe;font-family:Consolas, 'Courier New', monospace;font-weight:normal;font-size:12px;""><br> </div><div style=""color:#000000;background-color:#fffffe;font-family:Consolas, 'Courier New', monospace;font-weight:normal;font-size:12px;""><br><div><span style=""color:#007200;"">/*************************************************************************************************************/</span> </div><div><span style=""color:#007200;"">/*&nbsp;日本語名　　　:　TCP通信確立状態取得コールバック関数&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;概要　　　　　:　TCP通信確立時の処理を行う&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;引数　　　　　:　tico_msg::msg::BoolStamped&nbsp;msg&nbsp;受信トピック(true：通信確立&nbsp;/&nbsp;false：通信切断)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;　　　　　　　:　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;戻り値　　　　:　なし&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;機能説明　　　:　tcp_ip_driverから発行される/tcp_connection_statusトピックを受信し、&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;　　　　　　　:　通信確立であった場合はカメラキャリブレーション設定値を送信する&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;備考　　　　　:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*&nbsp;履歴　　　　　:&nbsp;2025/7/21&nbsp;D.Miyagawa(TIIS)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*/</span> </div><div><span style=""color:#007200;"">/*************************************************************************************************************/</span> </div><div><span style=""color:#0000ff;"">void</span><span>&nbsp;CalcPalletPose::callback_tcp_connection_status(</span><span style=""color:#0000ff;"">const</span><span>&nbsp;tico_msgs::msg::BoolStamped::SharedPtr&nbsp;msg)&nbsp;{</span> </div><div><span>&nbsp;&nbsp;</span><span style=""color:#0000ff;"">bool</span><span>&nbsp;tcp_connect_status&nbsp;=&nbsp;msg-&gt;flag;</span> </div><br><div><span>&nbsp;&nbsp;</span><span style=""color:#0000ff;"">if</span><span>&nbsp;(tcp_connect_status&nbsp;==&nbsp;</span><span style=""color:#0000ff;"">false</span><span>)&nbsp;{</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#007200;"">/*&nbsp;TCP切断処理&nbsp;*/</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#007200;"">/*&nbsp;処理なし&nbsp;*/</span> </div><div><span>&nbsp;&nbsp;}&nbsp;</span><span style=""color:#0000ff;"">else</span><span>&nbsp;{</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#007200;"">/*&nbsp;TCP接続処理&nbsp;*/</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;custom_msg_srv_pkg::msg::CalibrationParam&nbsp;calibration_init_param;</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;calibration_init_param.param_x&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;=&nbsp;camera_offset_x;</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;calibration_init_param.param_y&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;=&nbsp;camera_offset_y;</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;calibration_init_param.param_z&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;=&nbsp;camera_offset_z;</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;calibration_init_param.param_yaw&nbsp;&nbsp;&nbsp;=&nbsp;camera_offset_yaw;</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;calibration_init_param.param_roll&nbsp;&nbsp;=&nbsp;camera_offset_roll;</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;calibration_init_param.param_pitch&nbsp;=&nbsp;camera_offset_pitch;</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#007200;"">/*&nbsp;カメラキャリブレーション設定値パブリッシュ&nbsp;*/</span> </div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;calib_param_pub_-&gt;publish(calibration_init_param);</span> </div><div><span>&nbsp;&nbsp;}</span> </div><div><span>}</span> </div><br> </div><br> </div>","issue,status:done",
[fix]rtmdetにて内部的なgui利用の回避検討,"Azure DevOps ID: 126
---
初期状態ではCtr+Cでlaunchを強制終了した場合、以下のエラーメッセージが出力される。

終了処理を変更することにより、エラーメッセージは回避できることを確認したが

処理負荷削減にむけて、元よりGUI系の処理を行わない設定にできないか

  

[rtmdet-1] Shutting down  

[rtmdet-1] Traceback (most recent call last):  

[rtmdet-1] &nbsp; File &quot;/home/tico/ros2_ws/install/rtmdet/lib/rtmdet/rtmdet&quot;, line 33, in   

[rtmdet-1] &nbsp; &nbsp; sys.exit(load_entry_point('rtmdet==0.0.0', 'console_scripts', 'rtmdet')())  

[rtmdet-1] &nbsp; File &quot;/home/tico/ros2_ws/install/rtmdet/lib/python3.10/site-packages/rtmdet/rtmdet.py&quot;, line 229, in main  

[rtmdet-1] &nbsp; &nbsp; cv2.destroyAllWindows()  

[rtmdet-1] cv2.error: OpenCV(4.5.5) /tmp/opencv-4.5.5/modules/highgui/src/window.cpp:1262: error: (-2:Unspecified error) The function is not implemented. Rebuild the library with Windows, GTK+ 2.x or Cocoa support. If you are on Ubuntu or Debian, install libgtk2.0-dev and pkg-config, then re-run cmake or configure script in function 'cvDestroyAllWindows'  

[rtmdet-1]","issue,status:done",
[fix]rtmdet起動時の警告内容の確認・解消要否判断,"Azure DevOps ID: 128
---
<div>rtmdetノード起動時に以下の赤文字で示すmmdetection関連の警告が出力される </div><div>処理に影響はない見込みであるが、このままでよいか確認必要。 </div><div><br><br> </div><div>[INFO] [launch]: All log files can be found below /home/tico/.ros/log/2026-03-04-13-14-10-863408-aaeon-desktop-13625<br> </div><div><div>[INFO] [launch]: Default logging verbosity is set to INFO<br> </div><div>[INFO] [rtmdet-1]: process started with pid [13626]<br> </div><div>[INFO] [unprocessed_pointcloud-2]: process started with pid [13628]<br> </div><div>[INFO] [extract_points-3]: process started with pid [13630]<br> </div><div>[INFO] [calc_pallet_pose-4]: process started with pid [13632]<br> </div><div>[INFO] [unprocessed_pointcloud-5]: process started with pid [13634]<br> </div><div>[INFO] [extract_points-6]: process started with pid [13636]<br> </div><div>[INFO] [calc_pallet_pose-7]: process started with pid [13638]<br> </div><div>[INFO] [unprocessed_pointcloud-8]: process started with pid [13640]<br> </div><div>[INFO] [extract_points-9]: process started with pid [13642]<br> </div><div>[INFO] [calc_pallet_pose-10]: process started with pid [13644]<br> </div><div><span style=""color:rgb(237, 92, 87);"">[rtmdet-1] /home/tico/mmdetection-3.3.0/mmdet/models/layers/se_layer.py:158: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.</span><br><span style=""color:rgb(237, 92, 87);""> </span> </div><div><span style=""color:rgb(237, 92, 87);"">[rtmdet-1] &nbsp; with torch.cuda.amp.autocast(enabled=False):</span><br><span style=""color:rgb(237, 92, 87);""> </span> </div><div><span style=""color:rgb(237, 92, 87);"">[rtmdet-1] /home/tico/mmdetection-3.3.0/mmdet/models/backbones/csp_darknet.py:118: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.</span><br><span style=""color:rgb(237, 92, 87);""> </span> </div><div><span style=""color:rgb(237, 92, 87);"">[rtmdet-1] &nbsp; with torch.cuda.amp.autocast(enabled=False):</span><br><span style=""color:rgb(237, 92, 87);""> </span> </div><div><span style=""color:rgb(237, 92, 87);"">[rtmdet-1] /usr/local/lib/python3.10/dist-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/pytorch/aten/src/ATen/native/TensorShape.cpp:4317.)</span><br><span style=""color:rgb(237, 92, 87);""> </span> </div><div><span style=""color:rgb(237, 92, 87);"">[rtmdet-1] &nbsp; return _VF.meshgrid(tensors, **kwargs) &nbsp;# type: ignore[attr-defined]</span><br> </div><div>^C[WARNING] [launch]: user interrupted with ctrl-c (SIGINT)<br> </div> </div><div>[unprocessed_pointcloud-8] [INFO] [1772599012.753649593] [rclcpp]: signal_handler(signum=2)<br> </div>","issue,status:todo",
[tiis/bug]error_monitor起動時のバッファオーバーラン,"Azure DevOps ID: 133
---
<div>error_monitor起動時のSSD装着確認処理にて、 </div><div>lsblk -rコマンドを実施した際のMOUNTPOINTSの文字列が長大になることによって </div><div>バッファオーバーランが発生してerror_monitorが正常に起動できない。 </div><div><br> </div><div>今回はSSD装着無しで試験を実施するため、 </div><div>調査は行わず、 </div><div>チェック処理の戻り値をfalseに固定して対応を行う。 </div><div><br> </div><div>lsblk -r 実行結果 </div><div><img src=""https://dev.azure.com/LF-AR/4b19814f-a882-4d86-a455-d8bda3808420/_apis/wit/attachments/a35331a4-12e2-4d92-b94f-0d585c4631a3?fileName=image.png"" alt=Image><br> </div><div><br> </div><div><br> </div><div><br> </div>","issue,status:todo",
[fix]version.csvにおけるエラー,"Azure DevOps ID: 136
---
机上確認において以下のエラー出力を確認した。

[ERROR] [version]: [version.csv]: version error. Version character count mismatch","issue,status:todo",
,,,
,,,
,,,
,,,
,,,
,,,
